,弹幕,label
0,公众hao 芒果影控 回复香蜜沉沉,1
1,童年女神，谁骂她我骂谁,1
2,有的变态弹幕滚,1
3,这个台词吊打大部分同期演员了吧,1
4,滚你碧江的,1
5,？？？这个up盗视频？是盗的吗,1
6,脸整了碍你事了？人家有钱 有资本 女孩子都爱漂亮 你管得着？,1
7,不管整没整，姑娘没残，也没僵，我乐意看,1
8,特别讨厌邓伦，可是为了杨紫想去看香蜜了,1
9,我是微博来的!,1
10,别在up视频里刷别的up的猫，注意弹幕礼仪,1
11,←品种不一样颜色不一样怎么像了，还有不要刷其他up的名字OK？,1
12,rv手机就可以赚钱 兴趣的钩米+q  908666888,1
13,这个兼职就是狗屁，汉服就是被一群这样的狗给玩坏了，,1
14,说无耻的是杠精吗？人家穿的也是汉元素的，你敢都不敢穿,1
15,花魁日本那个你很牛壁,1
16,有点装饰就不是汉服？憋嘴吧,1
17,看到你们这群杠精就没心情看了，就你们屁事多,1
18,就非要那么划分的那么清楚吗？明明这么好看，非要毁气氛,1
19,杠精吗看清楚衣服构造再说,1
20,闭嘴嘛，能不能好好看视频,1
21,杠精够了啊，好看就行，废话那么多,1
22,这么丑的女人穿上汉服居然都美起来了,1
23,好看就行，杠精们是丑的不敢穿出门只能酸,1
24,有的汉服儿真的是ky成精,1
25,一帮杠精 酸什么啊,1
26,花魁也不这样啊，麻麻皮,1
27,好俗……,1
28,你杠精的样子真像cxk,1
29,关弹幕，保智商。,1
30,汉服活动居然出COS主办被驴踢了？,1
31,一堆杠精，不说一句就会死,1
32,杠精,1
33,标题你咋这么无知！,1
34,唉，这个理由出cos真是服了，主办方是脑子打铁了吗？,1
35,你们酸什么。你行你上,1
36,一说汉服，必撕逼,1
37,借汉服之名，行游戏宣传。吃相真好看,1
38,怎么弹幕这么多杠精  ,1
39,一说汉服，必撕逼,1
40,有喷的功夫不如做个比她更好的,1
41,8102/01/62未能成功独享,1
42,你怕是营销号呦,1
43,em]e10002[/em]iPhoeXs Max[em]e10022[/em]5日珠穆朗玛峰上空8844米[em]e10020[/em]乘坐于美国洛杉矶国际机,1
44,连王者荣耀都有职业 凭什么这就不能有了,1
45,说gua的真酸,1
46,G港？你瞎了还是我们玩得不是同一个游戏？,1
47,卢姥爷生前留下的遗物 没想到你捡到了,1
48,卢本伟,1
49,娱乐有jb分段,1
50,左上角开火健看不见？瞎？,1
51,说端游的那你去看你的端游，来手游这看干嘛？肝精一个,1
52,说其他游戏的一律举报不谢,1
53,外设的你是多瞎？,1
54,说外设的眼瞎就不要打游戏了。做自己该做的事情吧,1
55,说外设的是瞎子 看不到手上拿的？,1
56,眼睛长痔疮？,1
57,说那些的真酸,1
58,就跟你什么都懂一样,1
59,王牌路过,1
60,王牌路过,1
61,菜  比  ,1
62,看不见我，皇冠路过,1
63,问为什么不打头的是弱智吧，这么近距离先手突袭肯定瞄身子啊,1
64,王牌路过,1
65,不打头的是瞎子吗,1
66,皇冠一打四难吗真的菜啊,1
67,一堆酸的沙雕,1
68,一群杠精,1
69,弹幕都很nb的,1
70,一个两个杠精……,1
71,关弹幕保智商,1
72,懒得看小学生发弹幕了,1
73,声卡怪没了，厕所怪出现了,1
74,杠精出去？,1
75,问歌名的是傻子吧…emm,1
76,声卡的这个真酸，丢人，你看哪个up主直播不用这些东西，有毒吧,1
77,你把解说的声音换成音乐有啥好玩的？是在秀你的智商吗？,1
78,营销号警告,1
79,136个小伙伴们,1
80,136人正在看？？？,1
81,总有些莫名带着优越感的弹幕,1
82,白嫖还嫌人家收音不好，去现场啊……,1
83,看个相声还看出毒唯来了，有病,1
84,关你们P事  粉圈来的坏习惯！,1
85,这俩谁？弹幕瞬间没了,1
86,弹幕呢？,1
87,你有病啊你,1
88,你们够了。这姐姐在这录着像呢，她敢大声乐嘛？乐完了你们不得吐槽录的听不清啊，还撅人，要脸不,1
89,白嫖还在这儿嫌这嫌那的,1
90,十分恶心,1
91,可能都是一个人，没准屏蔽了，就看不见这种话了,1
92,大家关弹幕保护智商吧,1
93,我了个天啊说真生气的这智商就别买票了,1
94,那些说生气的，人家都多少年专业的演员了，你在这bb啥呢？,1
95,郭老师说得好，就你这个智商还是别听相声了,1
96,角儿们生不生气不知道，弹幕气得我想关弹幕是真的,1
97,人家有名字，再不然小番茄，一天到晚前夫哥，前夫哥的。,1
98,这块没弹幕吗,1
99,不懂吧 可以闭嘴  瞎议论个什么劲儿啊 一会儿又生气了 一会儿又说的不好 那你上去呗 你还不如人家呢 一点素质没有,1
100,人少了哟,1
101,我生于04.6.5号我的妈,1
102,空降坐标:9分48秒,1
103,空降坐标4:30，没有下水，请做好心理准备，over,1
104,空降4.28,1
105,见封滚,1
106,公众hao 芒果影控 回复西虹市首富,1
107,感谢指挥部！,1
108,感谢指挥部,1
109,谢谢指挥部,1
110,指挥部,1
111,大学小姐姐聚集地，‘资  .助 .人’app,1
112,滚 举报了,1
113,空降师听令,1
114,别说狗，我看有些人是天生笨,1
115,怎么举报来着,1
116,大学校花小姐姐都在 ‘资  .助 .人’ app,1
117,素质极差,1
118,这种人真恶心,1
119,这样是因为你玩的时间太长了后面还有一堆人所以捣乱。,1
120,比探探陌陌更好用，是‘资  .助 .人’APP,1
121,这女的真贱,1
122,滚，B站抖音化的都滚，狗屎一样,1
123,只有我一个人觉得尴尬吗,1
124,垃圾,1
125,垃圾抖音,1
126,婊里婊气,1
127,胡说，根本没有,1
128,婊里婊气的，滚啊,1
129,有个屁,1
130,绿茶biao,1
131,哄抬逼价,1
132,渣女滚啊,1
133,有没有空降呀,1
134,舔狗,1
135,舔狗，滚,1
136,第二个,1
137,这不就是婊吗？,1
138,无聊狗屎抖音,1
139,真**恶心,1
140,别侮辱朴树的歌谢谢,1
141,听这歌想吐,1
142,抖音的可以滚出b站吗,1
143,净化b站,1
144,这个是真的口区,1
145,快进，这些歌真的是太恶心了,1
146,歌是好歌，音质这么差放个什么鬼？黑子吧。,1
147,智障,1
148,尬,1
149,这东西不应该出现在这。,1
150,要死了，我走了，真的太尴尬了,1
151,我特么想打人……,1
152,拉出去打一顿,1
153,看的我很尴尬,1
154,尴尬……,1
155,尴尬死了什么玩意儿！,1
156,这歌tingld要吐,1
157,好2啊,1
158,你不觉得搞笑自然有别人觉得好笑，哪来的优越感,1
159,这一段是真滴尴尬,1
160,神经病,1
161,曹！看这些垃圾视频我还不如自己下个抖音去看？污染B站,1
162,这个才是娱乐好吗。搏出位那种跟这种能比吗,1
163,B站变抖音了？,1
164,是不是傻？,1
165,制杖,1
166,抖音自黑,1
167,求你别放这音乐了，我快吐了,1
168,有病吧……,1
169,呕,1
170,神经病,1
171,弱智,1
172,贼尴尬……,1
173,一堆沙雕,1
174,有病吧,1
175,b站的都是弱智？？,1
176,恶心死我了,1
177,想吐,1
178,有毛病吧,1
179,真的捞,1
180,抖音多撒比,1
181,没感觉啥创意啊。。有些尴尬,1
182,玛德智障,1
183,什么玩意,1
184,一帮渣比,1
185,好low,1
186,低趣味,1
187,这群人去演猴戏还行,1
188,睿智吧dy的,1
189,南抖音北快手，智障界两泰斗,1
190,【南抖音 北快手 智障界 两泰斗】,1
191,恶心,1
192,谢谢指挥部！！,1
193,别总说抖音低俗，因为你们喜欢看低俗才推荐给你,1
194,说因为低俗才被推荐的你逻辑真牛逼,1
195,低俗就是低俗,1
196,现在智能推荐算法摆在那，你看有趣的推荐有趣的。你看低俗的给你推荐低俗的,1
197,提前空降,1
198,空降高能区,1
199,提前空降,1
200,空降,1
201,行个屁。借1000到手950，还1200。15天期,1
202,空降失败,1
203,屁,1
204,恶心,1
205,空降成功………了？,1
206,空降成功？,1
207,空降成功,1
208,准备空降,1
209,空降成功,1
210,空降成功,1
211,空降成功,1
212,感谢指挥部,1
213,空降成功！感谢指挥部！,1
214,空降成功，感谢指挥部,1
215,空降成功,1
216,空降成功，我已安全着陆,1
217,空降成功,1
218,空降成功，反手炸了指挥部,1
219,谢谢前方指挥大军，空降成功,1
220,空降,1
221,空降成功,1
222,空降成功 over,1
223,完美空降,1
224,空降成功,1
225,空降成功,1
226,空降成功,1
227,空降成功！,1
228,空降成功,1
229,空降成功,1
230,空降成功，感谢空指部,1
231,空降部队,1
232,空降成功！,1
233,感谢指挥部,1
234,空降有点前，但是也算成功,1
235,空降成功,1
236,空降成功,1
237,空降成功,1
238,空降成功，反手炸掉指挥部,1
239,空降成功,1
240,空降成功，反手炸了指挥部,1
241,空降成功,1
242,空降成功,1
243,空降成功,1
244,盲降成功，反手炸了指挥部,1
245,盲降成功，反手炸了指挥部,1
246,空降成功,1
247,空降成功,1
248,空降成功,1
249,空降至指定坐标,1
